musical,song,text
Follies,Waiting for the Girls Upstairs,(One of them was borrowed and the other was blue)
Follies,Waiting for the Girls Upstairs,Holding our ground for the boys below
Follies,Waiting for the Girls Upstairs,Fussing around with our hair—
Follies,Waiting for the Girls Upstairs,"Giggling, wriggling out of our tights"
Follies,Waiting for the Girls Upstairs,Chattering and clattering down all of those flights—
Follies,Waiting for the Girls Upstairs,"God, I'd forgotten there ever were nights"
Follies,Waiting for the Girls Upstairs,Of waiting for the boys downstairs
Follies,Waiting for the Girls Upstairs,You up there!
Follies,Waiting for the Girls Upstairs,Down in a minute!
Follies,Waiting for the Girls Upstairs,You two up there!
Follies,Waiting for the Girls Upstairs,Just keep your shirts on!
Follies,Waiting for the Girls Upstairs,Aren't you through up there?
Follies,Waiting for the Girls Upstairs,Heard you the first time!
Follies,Waiting for the Girls Upstairs,"Look, are you coming or"
Follies,Waiting for the Girls Upstairs,Aren't you coming 'cause
Follies,Waiting for the Girls Upstairs,"Look, if we're going"
Follies,Waiting for the Girls Upstairs,We
Follies,Waiting for the Girls Upstairs,Got to get going 'cause
Follies,Waiting for the Girls Upstairs,"Look, they won't hold us"
Follies,Waiting for the Girls Upstairs,A table at ringside
Follies,Waiting for the Girls Upstairs,All night
Follies,Waiting for the Girls Upstairs,"Coming, we're coming"
Follies,Waiting for the Girls Upstairs,Will you hold your horses
Follies,Waiting for the Girls Upstairs,"We're coming, we're ready, be"
Follies,Waiting for the Girls Upstairs,"There in a jiffy, we're"
Follies,Waiting for the Girls Upstairs,"Coming, we're coming"
Follies,Waiting for the Girls Upstairs,All right!
Follies,Waiting for the Girls Upstairs,Hi
Follies,Waiting for the Girls Upstairs,Girls...
Follies,Waiting for the Girls Upstairs,Ben...
Follies,Waiting for the Girls Upstairs,Sally...
Follies,Waiting for the Girls Upstairs,"Boy, we're beat"
Follies,Waiting for the Girls Upstairs,You look neat
Follies,Waiting for the Girls Upstairs,We saw you in the wings
Follies,Waiting for the Girls Upstairs,How are things?
Follies,Waiting for the Girls Upstairs,Did someone pass you in?
Follies,Waiting for the Girls Upstairs,Slipped a fin
Follies,Waiting for the Girls Upstairs,To what-the-hell-was-his-name
Follies,Waiting for the Girls Upstairs,"You know, the doorman"
Follies,Waiting for the Girls Upstairs,Al?
Follies,Waiting for the Girls Upstairs,No
Follies,Waiting for the Girls Upstairs,Big?
Follies,Waiting for the Girls Upstairs,Fat
Follies,Waiting for the Girls Upstairs,Young?
Follies,Waiting for the Girls Upstairs,Bald
Follies,Waiting for the Girls Upstairs,Harry!
Follies,Waiting for the Girls Upstairs,Yeah
Follies,Waiting for the Girls Upstairs,Okey doaks
Follies,Waiting for the Girls Upstairs,"Come on, folks"
Follies,Waiting for the Girls Upstairs,And where we're gonna go?
Follies,Waiting for the Girls Upstairs,A little joint I know
Follies,Waiting for the Girls Upstairs,What?
Follies,Waiting for the Girls Upstairs,Great new show
Follies,Waiting for the Girls Upstairs,There
Follies,Waiting for the Girls Upstairs,"Hey, I thought you said"
Follies,Waiting for the Girls Upstairs,Tonight's be Tony's—
Follies,Waiting for the Girls Upstairs,This joint is just as grand
Follies,Waiting for the Girls Upstairs,We girls got dressed for
Follies,Waiting for the Girls Upstairs,Dancing at Tony's—
Follies,Waiting for the Girls Upstairs,This joint is in demand
Follies,Waiting for the Girls Upstairs,"Ta-da, goodbye, you'll"
Follies,Waiting for the Girls Upstairs,Find us at Tony's—
Follies,Waiting for the Girls Upstairs,Wait till you hear the band!
Follies,Waiting for the Girls Upstairs,You told us Tony's
Follies,Waiting for the Girls Upstairs,That we'd go to Tony's
Follies,Waiting for the Girls Upstairs,Then Ben mentioned Tony's—
Follies,Waiting for the Girls Upstairs,"Well, someone said Tony's"
Follies,Waiting for the Girls Upstairs,There's dancing at Tony's—
Follies,Waiting for the Girls Upstairs,"All right, then, we'll go!"
Follies,Waiting for the Girls Upstairs,I told you Tony's?
Follies,Waiting for the Girls Upstairs,I never said Tony's!
Follies,Waiting for the Girls Upstairs,When's Ben mentioned Tony's?
Follies,Waiting for the Girls Upstairs,It's ritzy at Tony's—
Follies,Waiting for the Girls Upstairs,"All right, then, we'll go!"
Follies,Waiting for the Girls Upstairs,Waiting around for the girls upstairs
Follies,Waiting for the Girls Upstairs,Weren't we chuckleheads then?
Follies,Waiting for the Girls Upstairs,Very young and very old hat—
Follies,Waiting for the Girls Upstairs,Everybody has to go through stages like that
Follies,Waiting for the Girls Upstairs,Waiting around for the girls upstairs—
Follies,Waiting for the Girls Upstairs,"Thank you, but never again"
Follies,Waiting for the Girls Upstairs,"Life was fun, but oh, so intense"
Follies,Waiting for the Girls Upstairs,Everything was possible and nothing made sense
Follies,Waiting for the Girls Upstairs,Back there when one of the major events
Follies,Waiting for the Girls Upstairs,Was waiting for the girls
Follies,Waiting for the Girls Upstairs,Waiting for the girls
Follies,Waiting for the Girls Upstairs,Waiting for the girls upstairs
Follies,"Ah, Paris! / Broadway Baby",I have seen the ruins of Rome
Follies,"Ah, Paris! / Broadway Baby",I've been in the igloos of Nome
Follies,"Ah, Paris! / Broadway Baby",I have gone to Moscow
Follies,"Ah, Paris! / Broadway Baby",It's very gay
Follies,"Ah, Paris! / Broadway Baby","Well, anyway"
Follies,"Ah, Paris! / Broadway Baby",On the first of May!
Follies,"Ah, Paris! / Broadway Baby",I have seen Rangoon and Soho
Follies,"Ah, Paris! / Broadway Baby",And I like them more than so-so
Follies,"Ah, Paris! / Broadway Baby",But when there's a moon
Follies,"Ah, Paris! / Broadway Baby","Goodbye, Rangoon"
Follies,"Ah, Paris! / Broadway Baby","Allo, Montmartre, 'allo!"
Follies,"Ah, Paris! / Broadway Baby","Peking has rickshaws, New Orleans jazz"
Follies,"Ah, Paris! / Broadway Baby",But ah! Paris!
Follies,"Ah, Paris! / Broadway Baby",Beirut has sunshine—that's all it has
Follies,"Ah, Paris! / Broadway Baby",But ah! Paris!
Follies,"Ah, Paris! / Broadway Baby",Constantinople has Turkish baths
Follies,"Ah, Paris! / Broadway Baby",And Athens that lovely debris
Follies,"Ah, Paris! / Broadway Baby",Carlsbad may have a spa
Follies,"Ah, Paris! / Broadway Baby",But for ooh-la-la
Follies,"Ah, Paris! / Broadway Baby",You come with me!
Follies,"Ah, Paris! / Broadway Baby",Carlsbad is where you're cured
Follies,"Ah, Paris! / Broadway Baby",After you have toured
Follies,"Ah, Paris! / Broadway Baby",Ah ah ah ah ah
Follies,"Ah, Paris! / Broadway Baby",Ah ah ah ah! Paris!
Follies,"Ah, Paris! / Broadway Baby",I'm just a Broadway baby
Follies,"Ah, Paris! / Broadway Baby",Walking off my tired feet
Follies,"Ah, Paris! / Broadway Baby",Pounding Forty-second Street
Follies,"Ah, Paris! / Broadway Baby",To be in a show
Follies,"Ah, Paris! / Broadway Baby",Broadway baby
Follies,"Ah, Paris! / Broadway Baby",Learning how to sing and dance
Follies,"Ah, Paris! / Broadway Baby",Waiting for that one big chance
Follies,"Ah, Paris! / Broadway Baby",To be in a show
Follies,"Ah, Paris! / Broadway Baby",Gee
Follies,"Ah, Paris! / Broadway Baby",I'd like to be
Follies,"Ah, Paris! / Broadway Baby",On some marquee
Follies,"Ah, Paris! / Broadway Baby",All twinkling lights
Follies,"Ah, Paris! / Broadway Baby",A spark
