Musical,Song,Text
Sunday in the Park with George,Sunday in the Park with George,After getting up at seven
Sunday in the Park with George,Sunday in the Park with George,To come over to an island
Sunday in the Park with George,Sunday in the Park with George,In the middle of a river
Sunday in the Park with George,Sunday in the Park with George,Half an hour from the city
Sunday in the Park with George,Sunday in the Park with George,On a Sunday
Sunday in the Park with George,Sunday in the Park with George,On a Sunday in the park with—
Sunday in the Park with George,Sunday in the Park with George,Don't move the mouth!
Sunday in the Park with George,Sunday in the Park with George,—George!
Sunday in the Park with George,No Life,Ahh...
Sunday in the Park with George,No Life,Ooh...
Sunday in the Park with George,No Life,Mmm...
Sunday in the Park with George,No Life,"Oh, dear."
Sunday in the Park with George,No Life,"Oh, my."
Sunday in the Park with George,No Life,"Oh, my dear."
Sunday in the Park with George,No Life,It has no presence
Sunday in the Park with George,No Life,No passion
Sunday in the Park with George,No Life,No life
Sunday in the Park with George,No Life,It's neither pastoral
Sunday in the Park with George,No Life,Nor lyrical
Sunday in the Park with George,No Life,You don't suppose that it's satirical?
Sunday in the Park with George,No Life,Mmm? Oh...
Sunday in the Park with George,No Life,Just density
Sunday in the Park with George,No Life,Without intensity—
Sunday in the Park with George,No Life,No life
Sunday in the Park with George,No Life,Boys with their clothes off...
Sunday in the Park with George,No Life,I must paint a factory next!
Sunday in the Park with George,No Life,It's so mechanical
Sunday in the Park with George,No Life,Methodical
Sunday in the Park with George,No Life,It might be in some dreary
Sunday in the Park with George,No Life,Socialistic peri-
Sunday in the Park with George,No Life,Odical
Sunday in the Park with George,No Life,Good.
Sunday in the Park with George,No Life,"So drab, so cold"
Sunday in the Park with George,No Life,And so controlled
Sunday in the Park with George,No Life,No life
Sunday in the Park with George,No Life,"His touch is too deliberate, somehow."
Sunday in the Park with George,No Life,The dog.
Sunday in the Park with George,No Life,These things get hung—
Sunday in the Park with George,No Life,Mmm.
Sunday in the Park with George,No Life,And then they're gone
Sunday in the Park with George,No Life,Ahhh.
Sunday in the Park with George,No Life,Of course he's young—
Sunday in the Park with George,No Life,Hmm?
Sunday in the Park with George,No Life,But getting on
Sunday in the Park with George,No Life,Oh.
Sunday in the Park with George,No Life,"All mind, no heart"
Sunday in the Park with George,No Life,No life in his art
Sunday in the Park with George,No Life,No life in his life!
Sunday in the Park with George,No Life,No—
Sunday in the Park with George,No Life,Life
Sunday in the Park with George,Color and Light,Order
Sunday in the Park with George,Color and Light,Design
Sunday in the Park with George,Color and Light,Composition
Sunday in the Park with George,Color and Light,Tone
Sunday in the Park with George,Color and Light,Form
Sunday in the Park with George,Color and Light,Symmetry
Sunday in the Park with George,Color and Light,Balance
Sunday in the Park with George,Color and Light,More red...
Sunday in the Park with George,Color and Light,And a little more red...
Sunday in the Park with George,Color and Light,Blue blue blue blue
Sunday in the Park with George,Color and Light,Blue blue blue blue
Sunday in the Park with George,Color and Light,Even... even...
Sunday in the Park with George,Color and Light,Good
Sunday in the Park with George,Color and Light,Bumbum bum bumbumbum
Sunday in the Park with George,Color and Light,Bumbum bum...
Sunday in the Park with George,Color and Light,More red...
Sunday in the Park with George,Color and Light,More blue...
Sunday in the Park with George,Color and Light,More beer...
Sunday in the Park with George,Color and Light,More light!
Sunday in the Park with George,Color and Light,Color and light
Sunday in the Park with George,Color and Light,There's only color and light
Sunday in the Park with George,Color and Light,Yellow and white
Sunday in the Park with George,Color and Light,Just blue and yellow and white
Sunday in the Park with George,Color and Light,"Look at the air, miss—"
Sunday in the Park with George,Color and Light,See what I mean?
Sunday in the Park with George,Color and Light,"No, look over there, miss—"
Sunday in the Park with George,Color and Light,That's done with green...
Sunday in the Park with George,Color and Light,Conjoined with orange...
Sunday in the Park with George,Color and Light,Nothing seems to fit me right. 
Sunday in the Park with George,Color and Light,"The less I wear, the more comfortable I feel."
Sunday in the Park with George,Color and Light,More rouge...
Sunday in the Park with George,Color and Light,George is very special
Sunday in the Park with George,Color and Light,Maybe I am just not special enough for him
Sunday in the Park with George,Color and Light,If my legs were longer...
Sunday in the Park with George,Color and Light,If my bust was smaller...
Sunday in the Park with George,Color and Light,If my hands were graceful...
Sunday in the Park with George,Color and Light,If my waist was thinner...
Sunday in the Park with George,Color and Light,If my hips were flatter...
Sunday in the Park with George,Color and Light,If my voice was warm...
Sunday in the Park with George,Color and Light,If I could concentrate—
Sunday in the Park with George,Color and Light,I'd be in the Follies!
Sunday in the Park with George,Color and Light,I'd be in a cabaret!
Sunday in the Park with George,Color and Light,Gentlemen in tall silk hats
Sunday in the Park with George,Color and Light,And linen spats
Sunday in the Park with George,Color and Light,Would wait with flowers
Sunday in the Park with George,Color and Light,I could make them wait for hours
Sunday in the Park with George,Color and Light,Giddy young aristocrats
Sunday in the Park with George,Color and Light,With fancy flats
Sunday in the Park with George,Color and Light,Would drink my health
Sunday in the Park with George,Color and Light,And I would be as
Sunday in the Park with George,Color and Light,Hard as nails...
Sunday in the Park with George,Color and Light,And they'd only want me more—
Sunday in the Park with George,Color and Light,If I was a Folly girl...
Sunday in the Park with George,Color and Light,"Nah, I wouldn't like it much"
Sunday in the Park with George,Color and Light,Married men and stupid boys
Sunday in the Park with George,Color and Light,And too much smoke and all that noise
Sunday in the Park with George,Color and Light,And all that color and light...
Sunday in the Park with George,Color and Light,"Aren't you proper today, miss?"
Sunday in the Park with George,Color and Light,Your parasol so properly cocked
Sunday in the Park with George,Color and Light,Your bustle so perfectly upright
Sunday in the Park with George,Color and Light,"And you, sir"
Sunday in the Park with George,Color and Light,Your hat so black
Sunday in the Park with George,Color and Light,"So black to you, perhaps"
Sunday in the Park with George,Color and Light,So red to me
Sunday in the Park with George,Color and Light,None of the others worked at night...
Sunday in the Park with George,Color and Light,So composed for a Sunday
Sunday in the Park with George,Color and Light,How do you work without the right—
Sunday in the Park with George,Color and Light,Bright—
Sunday in the Park with George,Color and Light,White—
Sunday in the Park with George,Color and Light,Light?
Sunday in the Park with George,Color and Light,How do you fathom George?
Sunday in the Park with George,Color and Light,Red red red red
Sunday in the Park with George,Color and Light,Red red orange
Sunday in the Park with George,Color and Light,Red red orange
Sunday in the Park with George,Color and Light,Orange pick up blue
Sunday in the Park with George,Color and Light,Pick up red
Sunday in the Park with George,Color and Light,Pick up orange
