Musical,Song,Text
Company,The Little Things You Do Together,"Oh my god, alright!"
Company,The Little Things You Do Together,"Ay, hooray!"
Company,The Little Things You Do Together,One throw
Company,The Little Things You Do Together,Woohoo!
Company,The Little Things You Do Together,"Harry, do you wanna stand there?"
Company,The Little Things You Do Together,Where?
Company,The Little Things You Do Together,There!
Company,The Little Things You Do Together,"Okay, I’m standing here! Now what?"
Company,The Little Things You Do Together,Ha... Haah...
Company,The Little Things You Do Together,Hye... Yah!
Company,The Little Things You Do Together,Okay
Company,The Little Things You Do Together,"Now, just... come at me"
Company,The Little Things You Do Together,Okay...
Company,The Little Things You Do Together,Hyah! Yah! Aah! Hah! Yaaah!
Company,The Little Things You Do Together,It’s the little things you do together
Company,The Little Things You Do Together,Do together
Company,The Little Things You Do Together,Do together
Company,The Little Things You Do Together,That make perfect relationships
Company,The Little Things You Do Together,The hobbies you pursue together
Company,The Little Things You Do Together,Savings you accrue together
Company,The Little Things You Do Together,Looks you misconstrue together
Company,The Little Things You Do Together,That make marriage a joy
Company,The Little Things You Do Together,Mm-hmm
Company,The Little Things You Do Together,That’s very good
Company,The Little Things You Do Together,One more! Let’s do it once more!
Company,The Little Things You Do Together,"Harry, could I have another bourbon?"
Company,The Little Things You Do Together,Ha! Hyah! Ha! Huh! Gaaaahh!
Company,The Little Things You Do Together,Uncle!
Company,The Little Things You Do Together,Uncle your ass!
Company,The Little Things You Do Together,It’s the little things you share together
Company,The Little Things You Do Together,Swear together
Company,The Little Things You Do Together,Wear together
Company,The Little Things You Do Together,That make perfect relationships
Company,The Little Things You Do Together,It’s concerts you enjoy together
Company,The Little Things You Do Together,Neighbors you annoy together
Company,The Little Things You Do Together,Children you destroy together
Company,The Little Things You Do Together,That keep marriage intact
Company,The Little Things You Do Together,It’s not so hard to be married
Company,The Little Things You Do Together,When two maneuver as one
Company,The Little Things You Do Together,It’s not so hard to be married
Company,The Little Things You Do Together,"And Jesus Christ, is it fun"
Company,The Little Things You Do Together,It’s sharing little winks together
Company,The Little Things You Do Together,Drinks together
Company,The Little Things You Do Together,Kinks together
Company,The Little Things You Do Together,That make marriage a joy
Company,The Little Things You Do Together,It’s bargains that you shop together
Company,The Little Things You Do Together,Cigarettes you stop together
Company,The Little Things You Do Together,Clothing that you swap together
Company,The Little Things You Do Together,That make perfect relationships
Company,The Little Things You Do Together,Uh huh
Company,The Little Things You Do Together,Mm hmm
Company,The Little Things You Do Together,It’s not talk of God and the decade ahead
Company,The Little Things You Do Together,That allows you to get through the worst
Company,The Little Things You Do Together,It’s “I do” and “you don’t” and “nobody said that”
Company,The Little Things You Do Together,And “who brought the subject up first?”
Company,The Little Things You Do Together,It’s the little things
Company,The Little Things You Do Together,"The little things, the little things"
Company,The Little Things You Do Together,The little things
Company,The Little Things You Do Together,The little ways you try together
Company,The Little Things You Do Together,Cry together
Company,The Little Things You Do Together,Lie together
Company,The Little Things You Do Together,That make perfect relationships
Company,The Little Things You Do Together,Becoming a cliche together
Company,The Little Things You Do Together,Growing old and grey together
Company,The Little Things You Do Together,Withering away together
Company,The Little Things You Do Together,That makes marriage a joy
Company,The Little Things You Do Together,It’s not so hard to be married
Company,The Little Things You Do Together,It’s much the cleanest of crimes
Company,The Little Things You Do Together,It’s not so hard to be married
Company,The Little Things You Do Together,I’ve done it three or four times
Company,The Little Things You Do Together,It’s people that you hate together
Company,The Little Things You Do Together,Bait together
Company,The Little Things You Do Together,Date together
Company,The Little Things You Do Together,That make marriage a joy
Company,The Little Things You Do Together,It’s things like using force together
Company,The Little Things You Do Together,Shouting ‘til you’re hoarse together
Company,The Little Things You Do Together,Getting a divorce together
Company,The Little Things You Do Together,That make perfect relationships
Company,The Little Things You Do Together,Uh huh
Company,The Little Things You Do Together,Kiss kiss
Company,The Little Things You Do Together,Mm hmm
Company,The Little Things You Do Together,"Wow, would you look at the time?"
Company,The Little Things You Do Together,I’d better get going
Company,The Little Things You Do Together,"Listen, I had a great time"
Company,The Little Things You Do Together,So did we
Company,The Little Things You Do Together,It was great to see you
Company,The Little Things You Do Together,You sure you wouldn’t care for a nightcap?
Company,The Little Things You Do Together,Right
Company,The Little Things You Do Together,"I mean, will I see you guys soon"
Company,The Little Things You Do Together,Don’t answer that Harry
Company,The Little Things You Do Together,"He gets no more questions, that sneaky Pete"
Company,The Little Things You Do Together,I’ll turn out the lights
Company,The Little Things You Do Together,I will
Company,The Little Things You Do Together,I always do
Company,The Little Things You Do Together,No you don’t
Company,The Little Things You Do Together,"Harry, I love you"
Company,Sorry-Grateful,"Harry, are you ever sorry you got married?"
Company,Sorry-Grateful,You’re always sorry
Company,Sorry-Grateful,You’re always grateful
Company,Sorry-Grateful,You’re always wondering what might have been
Company,Sorry-Grateful,Then she walks in
Company,Sorry-Grateful,And still you’re sorry
Company,Sorry-Grateful,And still you’re grateful
Company,Sorry-Grateful,And still you wonder and still you doubt
Company,Sorry-Grateful,And she goes out
Company,Sorry-Grateful,Everything’s different
