musical,song,text
Passion,Fourth Letter,"The bed, the secrecy, the world outside"
Passion,Fourth Letter,Your mouth on mine
Passion,Fourth Letter,Captain...
Passion,I Read,I hope I didn't startle you
Passion,I Read,"Not at all. Signora Ricci, I'm Captain Bachetti–"
Passion,I Read,–Bachetti
Passion,I Read,I know. My cousin has told me all about you
Passion,I Read,I came to thank you for the books
Passion,I Read,"I would have sooner, but I've been so ill"
Passion,I Read,"Well, now you seem to be feeling more normal"
Passion,I Read,Normal? I hardly think so. Sickness is normal to me as health is to you
Passion,I Read,Excuse me. I shouldn't speak of my troubles. I've been going through a period of deep melancholy
Passion,I Read,I so enjoyed the novel by Rousseau
Passion,I Read,"Oh, it's wonderful. My favorite, really"
Passion,I Read,The character of Julie is a great mystery
Passion,I Read,You should have kept the book longer to meditate over
Passion,I Read,I do not read to think
Passion,I Read,I do not read to learn
Passion,I Read,I do not read to search for truth
Passion,I Read,"I know the truth, the truth is hardly what I need"
Passion,I Read,I read to dream
Passion,I Read,I read to live
Passion,I Read,In other people's lives
Passion,I Read,I read about the joys the world
Passion,I Read,Dispenses to the fortunate
Passion,I Read,And listen for the echoes
Passion,I Read,I read to live
Passion,I Read,To get away from life!
Passion,I Read,"No, captain, I have no illusions"
Passion,I Read,I recognize the limits of my dreams
Passion,I Read,I know how painful dreams can be
Passion,I Read,Unless you know they're merely dreams
Passion,I Read,There is a flower
Passion,I Read,Which offers nectar at the top
Passion,I Read,Delicious nectar at the top
Passion,I Read,And bitter poison underneath
Passion,I Read,The butterfly that stays too long and drinks too deep
Passion,I Read,Is doomed to die
Passion,I Read,I read to fly
Passion,I Read,To skim
Passion,I Read,I do not read to swim
Passion,I Read,I do not dwell on dreams
Passion,I Read,I know how soon a dream becomes an expectation
Passion,I Read,How can I have expectations?
Passion,I Read,Look at me
Passion,I Read,"No, captain, look at me"
Passion,I Read,Look at me!
Passion,I Read,I do not hope for what I cannot have!
Passion,I Read,I do not cling to things I cannot keep!
Passion,I Read,"The more you cling to things, the more you love them"
Passion,I Read,The more the pain you suffer when they're taken from you
Passion,I Read,"Ah, but if you have no expectations, Captain"
Passion,I Read,You can never have a disappointment
Passion,I Read,"I must be mad to chatter on about myself like this to you, forgive me"
Passion,I Read,I assure you–
Passion,I Read,"No, forgive me, please"
Passion,I Read,"But truly, there is nothing to forgive–"
Passion,I Read,Have you explored the town?
Passion,I Read,It is remote
Passion,I Read,Isn't it?
Passion,I Read,"And provincial, don't you think?"
Passion,I Read,Yes
Passion,I Read,And everything so brown:
Passion,I Read,"The streets, the fields, the river even"
Passion,I Read,Though there are some lovely gardens
Passion,I Read,"You do like gardens, I hope?"
Passion,I Read,Yes
Passion,I Read,"Good, I can show you gardens"
Passion,I Read,And then of course there is the castle
Passion,I Read,The ruined castle
Passion,I Read,Ah
Passion,I Read,"I find it lovely. Probably because it's ruined, I suppose"
Passion,I Read,I didn't know there was a castle
Passion,I Read,I like to take excursions there
Passion,I Read,When I'm in better health
Passion,I Read,Perhaps you'll join me
Passion,I Read,And my cousin
Passion,I Read,One day...
Passion,I Read,That would be delightful. I don't believe I've seen a flower or a garden since the day I arrived
Passion,Transition (#1),How can I describe her
Passion,Transition (#1),The wretchedness
Passion,Transition (#1),"God, the wretchedness"
Passion,Transition (#1),And the suffering
Passion,Transition (#1),The desperation
Passion,Transition (#1),"Of that poor, unhappy creature"
Passion,Transition (#1),"The embarrassment, Clara"
Passion,Transition (#1),Looking at the loneliness
Passion,Transition (#1),Listening to all that self-pity
Passion,Transition (#1),The town
Passion,Transition (#1),It is remote
Passion,Transition (#1),Isn't it?
Passion,Transition (#1),And provincial
Passion,Transition (#1),Don't you think?
Passion,Transition (#1),And everything's so brown
Passion,Transition (#1),The streets
Passion,Transition (#1),The fields
Passion,Transition (#1),"The river, even"
Passion,Transition (#1),Of course there is the castle
Passion,Transition (#1),The ruined castle
Passion,Garden Sequence,"Ah, look at how they've let this garden go"
Passion,Garden Sequence,"This is not Milan, Doctor"
Passion,Garden Sequence,I think it's rather beautiful
Passion,Garden Sequence,"Captain Bachetti, would you lend my cousin your arm? I wish to have a word with the Doctor"
Passion,Garden Sequence,Of course
Passion,Garden Sequence,I know how to walk. My cousin treats me like a child
Passion,Garden Sequence,"All the while as we strolled, Clara-"
Passion,Garden Sequence,I hope I didn't frighten you the other day
Passion,Garden Sequence,"No, not at all"
Passion,Garden Sequence,I could see you reading my letter
Passion,Garden Sequence,All the while as we strolled -
